"rubro2_ID","rubro2","rubro3_ID","rubro3","zone_ID","zone","test_type_ID","test_type","beta_robust","p_value","num_observ","description"
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","1","Metropolitan","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","2","North","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","2","North","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","2","North","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","3","North Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","3","North Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","3","North Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","4","South","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","4","South","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","4","South","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","5","South Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","5","South Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","25","Antineoplastic Antibiotics","5","South Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","1","Metropolitan","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","1","Metropolitan","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","1","Metropolitan","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","2","North","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","2","North","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","2","North","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","3","North Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","3","North Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","3","North Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","4","South","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","4","South","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","4","South","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","5","South Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","5","South Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","55","Antimetabolites","5","South Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","1","Metropolitan","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","1","Metropolitan","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","1","Metropolitan","3","Incumbency Status","0.14398139715195","0.046857096254826","1258","The null hypothesis of competition is rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","2","North","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","2","North","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","2","North","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","3","North Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","3","North Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","3","North Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","4","South","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","4","South","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","4","South","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","5","South Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","5","South Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","78","Hormones And Antihormones","5","South Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","1","Metropolitan","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","1","Metropolitan","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","1","Metropolitan","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","2","North","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","2","North","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","2","North","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","3","North Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","3","North Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","3","North Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","4","South","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","4","South","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","4","South","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","5","South Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","5","South Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"1","Antitumoral Agents","97","Natural Anti-Tumoral Products","5","South Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","1","Metropolitan","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","1","Metropolitan","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","1","Metropolitan","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","2","North","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","2","North","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","2","North","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","3","North Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","3","North Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","3","North Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","4","South","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","4","South","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","4","South","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","5","South Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","5","South Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","1","Alkalinizing Agents","5","South Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","1","Metropolitan","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","1","Metropolitan","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","1","Metropolitan","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","2","North","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","2","North","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","2","North","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","3","North Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","3","North Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","3","North Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","4","South","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","4","South","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","4","South","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","5","South Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","5","South Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","61","Diuretics","5","South Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","1","Metropolitan","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","1","Metropolitan","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","1","Metropolitan","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","2","North","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","2","North","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","2","North","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","3","North Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","3","North Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","3","North Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","4","South","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","4","South","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","4","South","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","5","South Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","5","South Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","62","Electrolytes","5","South Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","1","Metropolitan","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","1","Metropolitan","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","1","Metropolitan","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","2","North","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","2","North","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","2","North","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","3","North Center","1","90-Day Standardized Backlog","-0.56350308656693","0.022962596267462","615","The null hypothesis of competition is rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","3","North Center","2","180-Day Standardized Backlog","-0.53757137060165","0.024915950372815","615","The null hypothesis of competition is rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","3","North Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","4","South","1","90-Day Standardized Backlog","-0.39024749398232","0.034373380243778","1216","The null hypothesis of competition is rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","4","South","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","4","South","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","5","South Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","5","South Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","102","Potassium Salts","5","South Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","1","Metropolitan","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","1","Metropolitan","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","1","Metropolitan","3","Incumbency Status","0.090111866593361","0.00024420316913165","6878","The null hypothesis of competition is rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","2","North","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","2","North","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","2","North","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","3","North Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","3","North Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","3","North Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","4","South","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","4","South","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","4","South","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","5","South Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","5","South Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"2","Agents That Affect Water And Electrolytes","104","Dietary Supplements And Food Therapy Products","5","South Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","4","Antidiabetic Agents And Hyperglycemic Agents","1","Metropolitan","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","4","Antidiabetic Agents And Hyperglycemic Agents","1","Metropolitan","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","4","Antidiabetic Agents And Hyperglycemic Agents","1","Metropolitan","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","4","Antidiabetic Agents And Hyperglycemic Agents","2","North","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","4","Antidiabetic Agents And Hyperglycemic Agents","2","North","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","4","Antidiabetic Agents And Hyperglycemic Agents","2","North","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","4","Antidiabetic Agents And Hyperglycemic Agents","3","North Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","4","Antidiabetic Agents And Hyperglycemic Agents","3","North Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","4","Antidiabetic Agents And Hyperglycemic Agents","3","North Center","3","Incumbency Status","0.068941302597523","0.0099846962839365","7806","The null hypothesis of competition is rejected."
"3","Hormones And Hormonal Antagonists","4","Antidiabetic Agents And Hyperglycemic Agents","4","South","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","4","Antidiabetic Agents And Hyperglycemic Agents","4","South","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","4","Antidiabetic Agents And Hyperglycemic Agents","4","South","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","4","Antidiabetic Agents And Hyperglycemic Agents","5","South Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","4","Antidiabetic Agents And Hyperglycemic Agents","5","South Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","4","Antidiabetic Agents And Hyperglycemic Agents","5","South Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","21","Androgens And Androgenic Inhibitors","1","Metropolitan","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","21","Androgens And Androgenic Inhibitors","1","Metropolitan","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","21","Androgens And Androgenic Inhibitors","1","Metropolitan","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","21","Androgens And Androgenic Inhibitors","2","North","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","21","Androgens And Androgenic Inhibitors","2","North","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","21","Androgens And Androgenic Inhibitors","2","North","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","21","Androgens And Androgenic Inhibitors","3","North Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","21","Androgens And Androgenic Inhibitors","3","North Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","21","Androgens And Androgenic Inhibitors","3","North Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","21","Androgens And Androgenic Inhibitors","4","South","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","21","Androgens And Androgenic Inhibitors","4","South","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","21","Androgens And Androgenic Inhibitors","4","South","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","21","Androgens And Androgenic Inhibitors","5","South Center","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","21","Androgens And Androgenic Inhibitors","5","South Center","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","21","Androgens And Androgenic Inhibitors","5","South Center","3","Incumbency Status","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","59","Corticosteroids","1","Metropolitan","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","59","Corticosteroids","1","Metropolitan","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","59","Corticosteroids","1","Metropolitan","3","Incumbency Status","0.039051663130522","0.098386436700821","8657","The null hypothesis of competition is rejected."
"3","Hormones And Hormonal Antagonists","59","Corticosteroids","2","North","1","90-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
"3","Hormones And Hormonal Antagonists","59","Corticosteroids","2","North","2","180-Day Standardized Backlog","0","0","0","The null hypothesis of competition can not be rejected."
